category;validScientificNameId;validScientificName;preferredPopularName;taxonGroupName;collector;dateTimeCollected;locality;coordinateUncertaintyInMeters;municipality;county;individualCount;latitude;longitude;geometry;scientificNameRank;behavior;notes;sex;Ansvarsarter;Trua arter;Andre spesielt hensynskrevende arter;Spesielle okologiske former;Prioriterte arter;Fredete arter;NT;Fremmede arter
LC;204585;Mareca penelope;brunnakke;Fugler;Martin Eggen;12.07.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;4;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;3887;Haliaeetus albicilla;havørn;Fugler;Anette Jensen;21.05.2013 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;4;69,282608;16,151574;POINT (545462 7686302);species;feeding;Activity: Forage.;;Yes;No;No;No;No;No;No;No
CR;3768;Limosa limosa subsp. islandica;svarthalespove;Fugler;Anette Jensen;21.05.2013 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;2;69,282608;16,151574;POINT (545462 7686302);subspecies;possiblereproductive;Activity: PairInSuitableHabitat. Validationstatus: Approved Documented;in pair;No;Yes;No;No;Yes;No;No;No
EN;3488;Aythya marila;bergand;Fugler;Anette Jensen;24.05.2009 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;feeding;Activity: Forage. Validationstatus: Approved Documented;male;No;Yes;No;No;No;No;No;No
LC;3870;Buteo lagopus;fjellvåk;Fugler;John Stenersen;17.07.2017 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;2;69,282608;16,151574;POINT (545462 7686302);species;;;;Yes;No;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;Martin Eggen;12.07.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;4;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
VU;3813;Stercorarius parasiticus;tyvjo;Fugler;Audun Skrindo;14.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;1;69,279522;16,114581;POINT (544008 7685931);species;;Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
LC;3887;Haliaeetus albicilla;havørn;Fugler;Audun Skrindo;15.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;1;69,283618;16,179718;POINT (546571 7686436);species;;Validationstatus: Approved Documented;;Yes;No;No;No;No;No;No;No
EN;3838;Sterna hirundo;makrellterne;Fugler;John Stenersen;17.05.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;;Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
Unknown;3688;Larus glaucoides;grønlandsmåke;Fugler;John Stenersen;18.05.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;;Validationstatus: Approved Media;;No;No;No;No;No;No;No;No
LC;4340;Motacilla flava;gulerle;Fugler;Martin Eggen;05.06.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;moving;Activity: FlyingBy. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;3454;Anas crecca;krikkand;Fugler;Anette Jensen;20.04.2011 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;3;69,282608;16,151574;POINT (545462 7686302);species;stationary;Activity: Resting.;;No;No;No;No;No;No;No;No
LC;4332;Motacilla alba;linerle;Fugler;Anette Jensen;01.05.2011 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;1;69,282608;16,151574;POINT (545462 7686302);species;feeding;Activity: Forage.;male;No;No;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;Anette Jensen;17.04.2012 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;2;69,282608;16,151574;POINT (545462 7686302);species;feeding;Activity: Forage.;in pair;No;No;No;No;No;No;No;No
NT;3646;Pluvialis apricaria;heilo;Fugler;Line Selvaag;01.07.2005 00:00:00;Fuglehullet, Andøya flystasjon, Andøy, No;200.0;Andøy;Nordland;3;69,280177;16,158428;POINT (545738 7686036);species;;Heilounger er ringmerket ved disse myrområdene. (Antall unger ikke angitt fra kilden) Observatør/kilde: Espen Bergersen.;;Yes;No;No;No;No;No;Yes;No
LC;204585;Mareca penelope;brunnakke;Fugler;Anette Jensen;31.07.2011 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;67;69,307254;16,095034;POINT (543181 7689009);species;stationary;NOF Jentekurs Activity: Stationary.;;No;No;No;No;No;No;No;No
VU;4096;Fulica atra;sothøne;Fugler;Espen Bergersen;19.07.2011 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;3;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Observert av Leif Olsson Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Jørn Helge Magnussen;05.08.2013 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;65;69,307254;16,095034;POINT (543181 7689009);species;;;;No;No;No;No;No;No;No;No
CR;3768;Limosa limosa subsp. islandica;svarthalespove;Fugler;Anette Jensen;31.07.2011 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);subspecies;possiblereproductive;NOF Jentekurs Activity: AgitatedBehaviour. Validationstatus: Approved Documented;in pair;No;Yes;No;No;Yes;No;No;No
LC;3694;Larus marinus;svartbak;Fugler;Håvar Hveding;02.08.2020 00:00:00;Haugnessanden, Andøy, No;500.0;Andøy;Nordland;50;69,31125;16,136563;POINT (544810 7689484);species;;Validationstatus: Approved Documented;;Yes;No;No;No;No;No;No;No
LC;3461;Anas platyrhynchos;stokkand;Fugler;Oddvar Heggøy|Martin Eggen;12.07.2020 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;female;No;No;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Oddvar Heggøy|Martin Eggen;12.07.2020 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;4;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;female;No;No;No;No;No;No;No;No
LC;183926;Luscinia svecica;blåstrupe;Fugler;;26.06.1984 00:00:00;ANDØYA FLYSTASJON;5000.0;Andøy;Nordland;5;69,3;16,15;POINT (545364 7688240);species;possiblereproductive;;Unknown;Yes;No;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Stig  Rasmussen;17.04.2021 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307178;16,095313;POINT (543192 7689001);species;feeding;Activity: Forage. Validationstatus: Approved Documented;in pair;No;No;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;John Stenersen|Steve Baines;11.08.2022 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
VU;3952;Podiceps auritus;horndykker;Fugler;Anders Braut Simonsen|Geir Sverre Andersen|Torborg Berge|Jonas Langbråten;14.08.2022 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;3;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
LC;3754;Gallinago gallinago;enkeltbekkasin;Fugler;Bjørn Olav Tveit;13.08.2023 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;moving;Activity: FlyingBy. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;4252;Fringilla montifringilla;bjørkefink;Fugler;Bjørn Olav Tveit|Jon Helle;10.08.2023 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;10;69,307254;16,095034;POINT (543181 7689009);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;Yes;No;No;No;No;No;No;No
VU;3952;Podiceps auritus;horndykker;Fugler;Arne Heggland|Håvard Hjermstad-Sollerud;07.08.2024 00:00:00;Nattmålsvatnet, Stormyra, Andøy, No;712.0;Andøy;Nordland;2;69,28678;16,107197;POINT (543702 7686735);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
LC;3635;Charadrius hiaticula;sandlo;Fugler;Torborg Berge|Bjørn Olav Tveit|Bård Bredesen|Kjell Isaksen|Anders Braut Simonsen;11.08.2024 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;4322;Anthus pratensis;heipiplerke;Fugler;Arne Heggland|Håvard Hjermstad-Sollerud;26.06.2024 00:00:00;Hamneneset-Svartbergan, fjære og grunn sjø, Andøy, No;1362.0;Andøy;Nordland;5;69,280695;16,179664;POLYGON ((546557 7686806, 546427 7686642, 546463 7686348, 546424 7686304, 546324 7686286, 546263 7686253, 546259 7686222, 546329 7686165, 546311 7686004, 546318 7685769, 546434 7685575, 546230 7685392, 546196 7685251, 546205 7685218, 546696 7685514, 546875 7686334, 546824 7686655, 546753 7686975, 546631 7686904, 546557 7686806));species;stationary;ca antall Activity: Resting.;;Yes;No;No;No;No;No;No;No
LC;183926;Luscinia svecica;blåstrupe;Fugler;obsr1583418;11.08.2023 00:00:00;Kleivvatnet;;Andøy;Nordland;1;69,3084;16,092579;POINT (543082 7689135);species;;http://www.gbif.org/occurrence/4610620215;;Yes;No;No;No;No;No;No;No
CR;3671;Chroicocephalus ridibundus;hettemåke;Fugler;Knut Olsen|Tor Olsen;23.05.2015 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;7;69,307254;16,095034;POINT (543181 7689009);species;stationary;Activity: Resting.;;No;Yes;No;No;No;No;No;No
LC;4277;Hirundo rustica;låvesvale;Fugler;Knut Olsen|Tor Olsen;24.05.2015 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;feeding;Activity: Forage.;;No;No;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;Knut Olsen|Tor Olsen;24.05.2015 00:00:00;Stormyrraet, Stormyra, Andøy, No;5.0;Andøy;Nordland;1;69,277059;16,105077;POINT (543638 7685650);species;moving;Activity: FlyingBy. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Raymond Birkelund|Thorbjørn Aakre;21.05.2016 00:00:00;Kleivvannet, Andøy, No;250.0;Andøy;Nordland;2;69,307368;16,094549;POINT (543162 7689021);species;;;;No;No;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Jørn Helge Magnussen|Rune Solvang;02.08.2016 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung.;;No;No;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Oddvar Heggøy|Martin Eggen;30.05.2017 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;12;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;3487;Aythya fuligula;toppand;Fugler;Martin Eggen|Oddvar Heggøy;03.07.2017 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;8;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;Oddvar Heggøy|Martin Eggen;14.06.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: BroodOnEggs. Validationstatus: Approved Documented;in pair;No;No;No;No;No;No;No;No
LC;4332;Motacilla alba;linerle;Fugler;Oddvar Heggøy|Martin Eggen;14.06.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;4183;Pica pica;skjære;Fugler;Audun Skrindo;16.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;1;69,30973;16,125918;POINT (544394 7689307);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
VU;3681;Larus canus;fiskemåke;Fugler;Stig  Rasmussen;25.05.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;40;69,307178;16,095313;POINT (543192 7689001);species;;Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
Unknown;3688;Larus glaucoides;grønlandsmåke;Fugler;Anette Jensen;27.09.2010 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;1;69,282608;16,151574;POINT (545462 7686302);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;3754;Gallinago gallinago;enkeltbekkasin;Fugler;Anette Jensen;29.04.2009 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;feeding;Activity: Forage.;;No;No;No;No;No;No;No;No
CR;3654;Vanellus vanellus;vipe;Fugler;Line Selvaag;15.06.1992 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;;Observatør/kilde: Stokke, M. 2005. Fugleregistreringer ved Andøya Flystasjon i perioden 1990-1997. Utskrift av feltdagbøker. Upublisert..;;No;Yes;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Jørn Helge Magnussen;11.07.2011 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;4;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung.;;No;No;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Jørn Helge Magnussen|Oddvar Heggøy;21.07.2011 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;9;69,307254;16,095034;POINT (543181 7689009);species;;;;No;No;No;No;No;No;No;No
VU;4280;Riparia riparia;sandsvale;Fugler;Espen Bergersen;01.06.2011 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;50;69,307254;16,095034;POINT (543181 7689009);species;;minimum.;;No;Yes;No;No;No;No;No;No
LC;3461;Anas platyrhynchos;stokkand;Fugler;Bjørn Olav Tveit;08.06.2014 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;;;;No;No;No;No;No;No;No;No
LC;4557;Turdus philomelos;måltrost;Fugler;Stig  Rasmussen;24.05.2020 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307178;16,095313;POINT (543192 7689001);species;possiblereproductive;Activity: Display/Song. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
VU;4280;Riparia riparia;sandsvale;Fugler;Tor Olsen|John Stenersen|Steve Baines|Morten Tjemsland|Espen Sundet Nilsen|Trond Ove Stakkeland|Egil Ween|Stein Engebretsen|Bjørn Olav Tveit|Klaus Maløya Torland;30.07.2020 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;20;69,307254;16,095034;POINT (543181 7689009);species;feeding;ca. Activity: Forage. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;Tor Olsen|John Stenersen|Steve Baines|Morten Tjemsland|Espen Sundet Nilsen|Trond Ove Stakkeland|Egil Ween|Stein Engebretsen|Bjørn Olav Tveit|Klaus Maløya Torland;30.07.2020 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;in pair;No;No;No;No;No;No;No;No
LC;3487;Aythya fuligula;toppand;Fugler;Håvar Hveding;31.07.2020 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;22;69,307254;16,095034;POINT (543181 7689009);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;3487;Aythya fuligula;toppand;Fugler;Oddvar Heggøy|Martin Eggen;12.07.2020 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;female;No;No;No;No;No;No;No;No
EN;3773;Numenius arquata;storspove;Fugler;;30.05.1984 00:00:00;ANDØYA;5000.0;Andøy;Nordland;1;69,3;16,15;POINT (545364 7688240);species;reproductive;;Female;No;Yes;No;No;No;No;No;No
LC;3461;Anas platyrhynchos;stokkand;Fugler;Stig  Rasmussen;17.04.2021 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;3;69,307178;16,095313;POINT (543192 7689001);species;feeding;Activity: Forage. Validationstatus: Approved Documented;male;No;No;No;No;No;No;No;No
VU;3677;Larus argentatus;gråmåke;Fugler;Stig  Rasmussen;13.05.2021 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;7;69,307178;16,095313;POINT (543192 7689001);species;;Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;Ole Lykke Henriksen;16.05.2021 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: BroodOnEggs. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Atle Ivar Olsen|Magnhild Johansen;01.06.2021 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;4;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: PairInSuitableHabitat. Validationstatus: Approved Documented;in pair;No;No;No;No;No;No;No;No
EN;3773;Numenius arquata;storspove;Fugler;;16.06.2020 00:00:00;Røyken;5000.0;Andøy;Nordland;2;69,28087;16,13257;POINT (544716 7686094);species;;aggregated count for 15 sampling points situated less than 5000m from location;;No;Yes;No;No;No;No;No;No
LC;183926;Luscinia svecica;blåstrupe;Fugler;;16.06.2020 00:00:00;Røyken;5000.0;Andøy;Nordland;1;69,28087;16,13257;POINT (544716 7686094);species;;aggregated count for 15 sampling points situated less than 5000m from location;;Yes;No;No;No;No;No;No;No
LC;4472;Phylloscopus trochilus;løvsanger;Fugler;;14.06.2018 00:00:00;Røyken;5000.0;Andøy;Nordland;31;69,28087;16,13257;POINT (544716 7686094);species;;aggregated count for 15 sampling points situated less than 5000m from location;;No;No;No;No;No;No;No;No
LC;4472;Phylloscopus trochilus;løvsanger;Fugler;;14.06.2019 00:00:00;Røyken;5000.0;Andøy;Nordland;27;69,28087;16,13257;POINT (544716 7686094);species;;aggregated count for 15 sampling points situated less than 5000m from location;;No;No;No;No;No;No;No;No
LC;4322;Anthus pratensis;heipiplerke;Fugler;;16.06.2017 00:00:00;Røyken;5000.0;Andøy;Nordland;14;69,28087;16,13257;POINT (544716 7686094);species;;aggregated count for 15 sampling points situated less than 5000m from location;;Yes;No;No;No;No;No;No;No
LC;4252;Fringilla montifringilla;bjørkefink;Fugler;;14.06.2019 00:00:00;Røyken;5000.0;Andøy;Nordland;4;69,28087;16,13257;POINT (544716 7686094);species;;aggregated count for 15 sampling points situated less than 5000m from location;;Yes;No;No;No;No;No;No;No
VU;3681;Larus canus;fiskemåke;Fugler;Jonas Langbråten|Finn Nilsen|Håvar Hveding|Per Jan Hagevik;12.08.2022 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;15;69,307254;16,095034;POINT (543181 7689009);species;stationary;Ca.antall Activity: Resting. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
VU;4096;Fulica atra;sothøne;Fugler;Torborg Berge|Anders Braut Simonsen|Bjørn Olav Tveit;12.08.2022 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
VU;3677;Larus argentatus;gråmåke;Fugler;Trond Øigarden;13.06.2023 00:00:00;Andøya flystasjon, Andøy, No;300.0;Andøy;Nordland;2;69,296024;16,127517;POINT (544485 7687780);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
NT;3776;Numenius phaeopus;småspove;Fugler;Bjørn Olav Tveit|Jon Helle;10.08.2023 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;moving;Activity: FlyingBy. Validationstatus: Approved Documented;;No;No;No;No;No;No;Yes;No
LC;204597;Linaria flavirostris;bergirisk;Fugler;;19.06.2023 00:00:00;Røyken;5000.0;Andøy;Nordland;4;69,28087;16,13257;POINT (544716 7686094);species;;aggregated count for 15 sampling points situated less than 5000m from location;;Yes;No;No;No;No;No;No;No
NT;4010;Streptopelia decaocto;tyrkerdue;Fugler;John Stenersen;26.05.2024 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;3;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;I grantrærne vest for vannet. Activity: InNestingHabitat. Validationstatus: Approved Documented;;No;No;No;No;No;No;Yes;No
LC;204585;Mareca penelope;brunnakke;Fugler;Martin Eggen;18.04.2024 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;23;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;male;No;No;No;No;No;No;No;No
NT;3776;Numenius phaeopus;småspove;Fugler;Arne Heggland|Håvard Hjermstad-Sollerud;26.06.2024 00:00:00;Lyngvatnene vest, Andøy, No;250.0;Andøy;Nordland;8;69,283911;16,083185;POINT (542760 7686398);species;possiblereproductive;territorielle, spill og avledning Activity: InNestingHabitat. Validationstatus: Approved Documented;;No;No;No;No;No;No;Yes;No
NT;3646;Pluvialis apricaria;heilo;Fugler;Arne Heggland|Håvard Hjermstad-Sollerud;26.06.2024 00:00:00;Lyngvatnene vest, Andøy, No;250.0;Andøy;Nordland;5;69,283911;16,083185;POINT (542760 7686398);species;possiblereproductive;5 territorier. Spill og territoriehevding Activity: InNestingHabitat. Validationstatus: Approved Documented;;Yes;No;No;No;No;No;Yes;No
VU;3952;Podiceps auritus;horndykker;Fugler;Torborg Berge|Bjørn Olav Tveit|Bård Bredesen|Kjell Isaksen|Anders Braut Simonsen;11.08.2024 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;6;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
